Embedding,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
TF-IDF,0.905875,0.9056259453307661,0.905875,0.9056636473951947,0.8989473684210526,0.8987003514458484,0.8989473684210526,0.8987348065583166
Word2Vec Skip-gram,0.9012083333333333,0.9009752232254201,0.9012083333333333,0.9010009612224658,0.8944736842105263,0.8941588053094699,0.8944736842105263,0.8942462768617433
Word2Vec CBOW,0.8800833333333333,0.8796928810290107,0.8800833333333333,0.879802223618385,0.8693421052631579,0.8687625394259931,0.8693421052631579,0.8689624332304525
GloVe,0.8863333333333333,0.8860199294418677,0.8863333333333333,0.8861425476216542,0.8831578947368421,0.88289110088343,0.8831578947368421,0.8830032536379007
